drivers/ufs/ti-j721e-ufs.c:ti,j721e-ufs
drivers/cpu/riscv_cpu.c:riscv
drivers/cpu/at91_cpu.c:arm,cortex-a7
drivers/cpu/at91_cpu.c:arm,arm926ej-s
drivers/cpu/mtk_cpu.c:arm,cortex-a7
drivers/cpu/mtk_cpu.c:arm,cortex-a53
drivers/cpu/mtk_cpu.c:arm,cortex-a73
drivers/cpu/imx8_cpu.c:arm,cortex-a35
drivers/cpu/imx8_cpu.c:arm,cortex-a53
drivers/cpu/imx8_cpu.c:arm,cortex-a55
drivers/cpu/imx8_cpu.c:arm,cortex-a72
drivers/cpu/cpu_sandbox.c:sandbox,cpu_sandbox
drivers/cpu/mpc83xx_cpu.c:fsl,mpc83xx
drivers/cpu/mpc83xx_cpu.c:fsl,mpc8308
drivers/cpu/mpc83xx_cpu.c:fsl,mpc8309
drivers/cpu/mpc83xx_cpu.c:fsl,mpc8313
drivers/cpu/mpc83xx_cpu.c:fsl,mpc8315
drivers/cpu/mpc83xx_cpu.c:fsl,mpc832x
drivers/cpu/mpc83xx_cpu.c:fsl,mpc8349
drivers/cpu/mpc83xx_cpu.c:fsl,mpc8360
drivers/cpu/mpc83xx_cpu.c:fsl,mpc8379
drivers/ufs/ufs-renesas.c:renesas,r8a779f0-ufs
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-11.0
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-10.0
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-9.6
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-9.5
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-9.4
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-9.3
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-9.2
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-9.1
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-9.0
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.50.c
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.50.b
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.50.a
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.40.b
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.40.a
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.30.a
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.20.b
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.20.a
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.10.a
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.00.b
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-8.00.a
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-7.30.b
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-7.30.a
drivers/cpu/microblaze_cpu.c:xlnx,microblaze-7.20.d
