drivers/pcmcia/electra_cf.c:electra-cf
drivers/ufs/host/ti-j721e-ufs.c:ti,j721e-ufs
drivers/ufs/host/ufs-hisi.c:hisilicon,hi3660-ufs
drivers/ufs/host/ufs-hisi.c:hisilicon,hi3670-ufs
drivers/pps/clients/pps-gpio.c:pps-gpio
drivers/ufs/host/tc-dwc-g210-pltfrm.c:snps,g210-tc-6.00-20bit
drivers/ufs/host/tc-dwc-g210-pltfrm.c:snps,g210-tc-6.00-40bit
drivers/ufs/host/ufs-renesas.c:renesas,r8a779f0-ufs
drivers/ufs/host/ufs-mediatek.c:mediatek,mt8183-ufshci
drivers/ufs/host/cdns-pltfrm.c:cdns,ufshc
drivers/ufs/host/cdns-pltfrm.c:cdns,ufshc-m31-16nm
drivers/perf/fsl_imx9_ddr_perf.c:fsl,imx91-ddr-pmu
drivers/perf/fsl_imx9_ddr_perf.c:fsl,imx93-ddr-pmu
drivers/perf/fsl_imx9_ddr_perf.c:fsl,imx95-ddr-pmu
drivers/ufs/host/ufs-sprd.c:sprd,ums9620-ufs
drivers/perf/arm-cmn.c:arm,cmn-600
drivers/perf/arm-cmn.c:arm,cmn-650
drivers/perf/arm-cmn.c:arm,cmn-700
drivers/perf/arm-cmn.c:arm,cmn-s3
drivers/perf/arm-cmn.c:arm,ci-700
drivers/perf/xgene_pmu.c:apm,xgene-pmu
drivers/perf/xgene_pmu.c:apm,xgene-pmu-v2
drivers/perf/arm_spe_pmu.c:arm,statistical-profiling-extension-v1
drivers/perf/arm_dsu_pmu.c:arm,dsu-pmu
drivers/perf/marvell_cn10k_ddr_pmu.c:marvell,cn10k-ddr-pmu
drivers/ufs/host/ufs-qcom.c:qcom,ufshc
drivers/ufs/host/ufs-qcom.c:qcom,sm8550-ufshc
drivers/ufs/host/ufs-qcom.c:qcom,sm8650-ufshc
drivers/perf/arm-ni.c:arm,ni-700
drivers/perf/arm_smmuv3_pmu.c:arm,smmu-v3-pmcg
drivers/perf/arm-ccn.c:arm,ccn-502
drivers/perf/arm-ccn.c:arm,ccn-504
drivers/perf/arm-ccn.c:arm,ccn-512
drivers/ufs/host/ufs-exynos.c:google,gs101-ufs
drivers/ufs/host/ufs-exynos.c:samsung,exynos7-ufs
drivers/ufs/host/ufs-exynos.c:samsung,exynosautov9-ufs
drivers/ufs/host/ufs-exynos.c:samsung,exynosautov9-ufs-vh
drivers/ufs/host/ufs-exynos.c:tesla,fsd-ufs
drivers/perf/arm_cspmu/arm_cspmu.c:arm,coresight-pmu
drivers/perf/arm_v6_pmu.c:arm,arm1176-pmu
drivers/perf/arm_v6_pmu.c:arm,arm1136-pmu
drivers/perf/starfive_starlink_pmu.c:starfive,jh8100-starlink-pmu
drivers/perf/marvell_cn10k_tad_pmu.c:marvell,cn10k-tad-pmu
drivers/perf/arm-cci.c:arm,cci-400-pmu
drivers/perf/arm-cci.c:arm,cci-400-pmu,r0
drivers/perf/arm-cci.c:arm,cci-400-pmu,r1
drivers/perf/arm-cci.c:arm,cci-500-pmu,r0
drivers/perf/arm-cci.c:arm,cci-550-pmu,r0
drivers/perf/apple_m1_cpu_pmu.c:apple,avalanche-pmu
drivers/perf/apple_m1_cpu_pmu.c:apple,blizzard-pmu
drivers/perf/apple_m1_cpu_pmu.c:apple,icestorm-pmu
drivers/perf/apple_m1_cpu_pmu.c:apple,firestorm-pmu
drivers/perf/arm_pmuv3.c:arm,armv8-pmuv3
drivers/perf/arm_pmuv3.c:arm,cortex-a34-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a35-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a53-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a55-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a57-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a65-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a72-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a73-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a75-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a76-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a77-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a78-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a510-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a520-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a710-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a715-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a720-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-a725-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-x1-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-x2-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-x3-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-x4-pmu
drivers/perf/arm_pmuv3.c:arm,cortex-x925-pmu
drivers/perf/arm_pmuv3.c:arm,neoverse-e1-pmu
drivers/perf/arm_pmuv3.c:arm,neoverse-n1-pmu
drivers/perf/arm_pmuv3.c:arm,neoverse-n2-pmu
drivers/perf/arm_pmuv3.c:arm,neoverse-n3-pmu
drivers/perf/arm_pmuv3.c:arm,neoverse-v1-pmu
drivers/perf/arm_pmuv3.c:arm,neoverse-v2-pmu
drivers/perf/arm_pmuv3.c:arm,neoverse-v3-pmu
drivers/perf/arm_pmuv3.c:arm,neoverse-v3ae-pmu
drivers/perf/arm_pmuv3.c:cavium,thunder-pmu
drivers/perf/arm_pmuv3.c:brcm,vulcan-pmu
drivers/perf/arm_pmuv3.c:nvidia,carmel-pmu
drivers/perf/arm_pmuv3.c:nvidia,denver-pmu
drivers/perf/arm_pmuv3.c:samsung,mongoose-pmu
drivers/reset/reset-qcom-pdc.c:qcom,sc7280-pdc-global
drivers/reset/reset-qcom-pdc.c:qcom,sdm845-pdc-global
drivers/perf/fsl_imx8_ddr_perf.c:fsl,imx8-ddr-pmu
drivers/perf/fsl_imx8_ddr_perf.c:fsl,imx8m-ddr-pmu
drivers/perf/fsl_imx8_ddr_perf.c:fsl,imx8mq-ddr-pmu
drivers/perf/fsl_imx8_ddr_perf.c:fsl,imx8mm-ddr-pmu
drivers/perf/fsl_imx8_ddr_perf.c:fsl,imx8mn-ddr-pmu
drivers/perf/fsl_imx8_ddr_perf.c:fsl,imx8mp-ddr-pmu
drivers/perf/fsl_imx8_ddr_perf.c:fsl,imx8dxl-ddr-pmu
drivers/reset/reset-pistachio.c:img,pistachio-reset
drivers/reset/reset-rzg2l-usbphy-ctrl.c:renesas,rzg2l-usbphy-ctrl
drivers/perf/arm_v7_pmu.c:arm,cortex-a17-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a15-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a12-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a9-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a8-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a7-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a5-pmu
drivers/perf/arm_v7_pmu.c:qcom,krait-pmu
drivers/perf/arm_v7_pmu.c:qcom,scorpion-pmu
drivers/perf/arm_v7_pmu.c:qcom,scorpion-mp-pmu
drivers/nfc/trf7970a.c:ti,trf7970a
drivers/reset/reset-eyeq.c:mobileye,eyeq5-olb
drivers/reset/reset-eyeq.c:mobileye,eyeq6l-olb
drivers/reset/reset-eyeq.c:mobileye,eyeq6h-west-olb
drivers/reset/reset-eyeq.c:mobileye,eyeq6h-east-olb
drivers/reset/reset-eyeq.c:mobileye,eyeq6h-acc-olb
drivers/cpuidle/cpuidle-qcom-spm.c:qcom,idle-state-spc
drivers/pinctrl/pinctrl-keembay.c:intel,keembay-pinctrl
drivers/pinctrl/renesas/pinctrl-rzv2m.c:renesas,r9a09g011-pinctrl
drivers/pinctrl/pinctrl-pistachio.c:img,pistachio-system-pinctrl
drivers/pinctrl/renesas/pinctrl-rza2.c:renesas,r7s9210-pinctrl
drivers/pinctrl/renesas/pinctrl-rza1.c:renesas,r7s72100-ports
drivers/pinctrl/renesas/pinctrl-rza1.c:renesas,r7s72102-ports
drivers/pinctrl/mvebu/pinctrl-armada-ap806.c:marvell,ap806-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-39x.c:marvell,mv88f6920-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-39x.c:marvell,mv88f6925-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-39x.c:marvell,mv88f6928-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-375.c:marvell,mv88f6720-pinctrl
drivers/pinctrl/mvebu/pinctrl-orion.c:marvell,88f5181-pinctrl
drivers/pinctrl/mvebu/pinctrl-orion.c:marvell,88f5181l-pinctrl
drivers/pinctrl/mvebu/pinctrl-orion.c:marvell,88f5182-pinctrl
drivers/pinctrl/mvebu/pinctrl-orion.c:marvell,88f5281-pinctrl
drivers/pinctrl/mvebu/pinctrl-ac5.c:marvell,ac5-pinctrl
drivers/pinctrl/mvebu/pinctrl-dove.c:marvell,dove-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-37xx.c:marvell,armada3710-sb-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-37xx.c:marvell,armada3710-nb-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,mv78230-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,mv78260-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,mv78460-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,98dx3236-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,98dx4251-pinctrl
